Số thứ tự,Folder,ID,"Tay
T (trái)/
P (phải)/
2 (cả 2 tay)","N (Bàn tay bình thường)
A (Anomaly Bàn tay bị bất bình thường như: bị dị tật, cụt ngón tay … cần phải loại) ","Góc xoay (bao nhiêu độ) để hướng từ cổ tay đến ngón tay giữa hướng lên trên (chỉ thực hiện đối với ảnh tay trái, tay phải, file giữ nguyên thì góc xoay là 0, không thực hiện với ảnh 2 bàn tay và ảnh bị loại)","Mau nen gan nhat xung quanh ban tay
D (Đen)/ 
T (Trắng) "
No. 10062,train1,12758,T,,7,
No. 10063,train1,12759,P,,0,
No. 10064,train1,12760,T,,350,
No. 10065,train1,12761,T,,338,
No. 10066,train1,12762,T,,0,
No. 10067,train1,12763,T,,0,
No. 10068,train1,12764,T,,5,
No. 10069,train1,12765,T,,0,
No. 10070,train1,12766,T,,0,
No. 10071,train1,12767,T,,355,
No. 10072,train1,12768,T,,0,
No. 10073,train1,12769,T,,5,
No. 10074,train1,12770,T,,0,
No. 10075,train1,12771,T,,5,
No. 10076,train1,12772,T,,5,
No. 10077,train1,12774,T,,355,
No. 10078,train1,12775,T,,0,
No. 10079,train1,12776,T,,10,
No. 10080,train1,12777,T,,0,
No. 10081,train1,12778,T,,354,
No. 10082,train1,12779,T,,357,
No. 10083,train1,12780,T,,7,
No. 10084,train1,12781,T,,8,
No. 10085,train1,12782,T,,355,
No. 10086,train1,12784,T,,5,
No. 10087,train1,12786,T,,0,
No. 10088,train1,12787,T,,0,
No. 10089,train1,12788,T,,350,
No. 10090,train1,12789,T,,0,
No. 10091,train1,12791,T,,27,
No. 10092,train1,12793,T,,0,
No. 10093,train1,12794,T,,0,
No. 10094,train1,12795,T,,0,
No. 10095,train1,12796,T,,350,
No. 10096,train1,12797,P,,8,
No. 10097,train1,12798,T,,0,
No. 10098,train1,12799,T,,0,
No. 10099,train1,12800,T,,355,
No. 10100,train1,12802,T,,3,
No. 10101,train1,12803,T,,0,
No. 10102,train1,12804,T,,7,
No. 10103,train1,12805,T,,7,
No. 10104,train1,12807,T,,355,
No. 10105,train1,12808,T,,0,
No. 10106,train1,12809,T,,0,
No. 10107,train1,12810,T,,0,
No. 10108,train1,12811,T,,0,
No. 10109,train1,12812,T,,6,
No. 10110,train1,12813,T,,0,
No. 10111,train1,12816,P,,352,
No. 10112,train1,12817,T,,347,
No. 10113,train1,12818,T,,4,
No. 10114,train1,12819,T,,0,
No. 10115,train1,12820,T,,0,
No. 10116,train1,12821,T,,355,
No. 10117,train1,12822,T,,7,
No. 10118,train1,12824,T,,355,
No. 10119,train1,12825,T,,355,
No. 10120,train1,12826,T,,0,
No. 10121,train1,12827,T,,7,
No. 10122,train1,12828,T,,0,
No. 10123,train1,12829,T,,0,
No. 10124,train1,12830,T,,5,
No. 10125,train1,12831,T,,0,
No. 10126,train1,12832,T,,12,
No. 10127,train1,12833,T,,0,
No. 10128,train1,12834,T,,7,
No. 10129,train1,12835,T,,0,
No. 10130,train1,12836,T,,0,
No. 10131,train1,12837,T,,5,
No. 10132,train1,12838,T,,355,
No. 10133,train1,12840,T,,0,
No. 10134,train1,12841,T,,0,
No. 10135,train1,12842,T,,0,
No. 10136,train1,12845,T,,353,
No. 10137,train1,12846,T,,0,
No. 10138,train1,12847,T,,355,
No. 10139,train1,12848,T,,353,
No. 10140,train1,12849,T,,0,
No. 10141,train1,12850,T,,10,
No. 10142,train1,12852,T,,340,
No. 10143,train1,12853,T,,5,
No. 10144,train1,12854,T,,355,
No. 10145,train1,12855,T,,5,
No. 10146,train1,12856,T,,5,
No. 10147,train1,12857,T,,0,
No. 10148,train1,12859,T,,0,
No. 10149,train1,12860,T,,5,
No. 10150,train1,12861,T,,0,
No. 10151,train1,12862,T,,355,
No. 10152,train1,12863,T,,0,
No. 10153,train1,12864,T,,5,
No. 10154,train1,12866,T,,0,
No. 10155,train1,12867,T,,7,
No. 10156,train1,12869,T,,0,
No. 10157,train1,12870,T,,5,
No. 10158,train1,12871,T,,355,
No. 10159,train1,12873,T,,355,
No. 10160,train1,12874,T,,345,
No. 10161,train1,12875,T,,0,
No. 10162,train1,12876,T,,0,
No. 10163,train1,12878,T,,5,
No. 10164,train1,12879,T,,355,
No. 10165,train1,12880,T,,352,
No. 10166,train1,12881,T,,0,
No. 10167,train1,12882,T,,0,
No. 10168,train1,12883,T,,2,
No. 10169,train1,12884,T,,0,
No. 10170,train1,12885,T,,7,
No. 10171,train1,12886,T,,355,
No. 10172,train1,12887,T,,5,
No. 10173,train1,12888,T,,0,
No. 10174,train1,12889,T,,0,
No. 10175,train1,12890,T,,13,
No. 10176,train1,12891,T,,12,
No. 10177,train1,12892,T,,352,
No. 10178,train1,12893,T,,0,
No. 10179,train1,12894,T,,0,
No. 10180,train1,12895,T,,0,
No. 10181,train1,12896,T,,5,
No. 10182,train1,12897,T,,10,
No. 10183,train1,12898,T,,0,
No. 10184,train1,12899,T,,0,
No. 10185,train1,12900,T,,0,
No. 10186,train1,12901,T,,355,
No. 10187,train1,12902,T,,355,
No. 10188,train1,12904,T,,0,
No. 10189,train1,12905,T,,0,
No. 10190,train1,12906,T,,352,
No. 10191,train1,12907,T,,7,
No. 10192,train1,12908,T,,0,
No. 10193,train1,12910,T,,5,
No. 10194,train1,12911,T,,0,
No. 10195,train1,12912,T,,5,
No. 10196,train1,12913,T,,5,
No. 10197,train1,12914,T,,5,
No. 10198,train1,12915,T,,5,
No. 10199,train1,12916,T,,0,
No. 10200,train1,12917,T,,17,
No. 10201,train1,12918,T,,0,
No. 10202,train1,12919,T,,7,
No. 10203,train1,12920,T,,7,
No. 10204,train1,12921,T,,7,
No. 10205,train1,12922,T,,0,
No. 10206,train1,12923,T,,355,
No. 10207,train1,12924,T,,0,
No. 10208,train1,12925,T,,335,
No. 10209,train1,12926,T,,357,
No. 10210,train1,12927,T,,350,
No. 10211,train1,12929,T,,13,
No. 10212,train1,12930,T,,0,
No. 10213,train1,12931,T,,7,
No. 10214,train1,12932,T,,355,
No. 10215,train1,12933,T,,357,
No. 10216,train1,12934,T,,0,
No. 10217,train1,12935,T,,352,
No. 10218,train1,12936,T,,0,
No. 10219,train1,12937,T,,355,
No. 10220,train1,12938,T,,0,
No. 10221,train1,12939,T,,355,
No. 10222,train1,12940,T,,5,
No. 10223,train1,12941,T,,333,
No. 10224,train1,12943,T,,10,
No. 10225,train1,12945,T,,0,
No. 10226,train1,12946,T,,7,
No. 10227,train1,12947,T,,10,
No. 10228,train1,12948,T,,0,
No. 10229,train1,12949,T,,0,
No. 10230,train1,12950,T,,0,
No. 10231,train1,12951,T,,7,
No. 10232,train1,12952,T,,350,
No. 10233,train1,12953,T,,357,
No. 10234,train1,12954,T,,0,
No. 10235,train1,12955,T,,0,
No. 10236,train1,12957,T,,5,
No. 10237,train1,12958,T,,0,
No. 10238,train1,12959,T,,0,
No. 10239,train1,12960,T,,355,
No. 10240,train1,12962,T,,7,
No. 10241,train1,12964,T,,0,
No. 10242,train1,12965,T,,343,
No. 10243,train1,12967,T,,0,
No. 10244,train1,12968,T,,10,
No. 10245,train1,12969,T,,350,
No. 10246,train1,12970,T,,0,
No. 10247,train1,12971,T,,0,
No. 10248,train1,12972,T,,350,
No. 10249,train1,12973,T,,0,
No. 10250,train1,12974,T,,0,
No. 10251,train1,12975,T,,7,
No. 10252,train1,12976,T,,0,
No. 10253,train1,12978,T,,337,
No. 10254,train1,12979,T,,0,
No. 10255,train1,12980,T,,0,
No. 10256,train1,12981,T,,355,
No. 10257,train1,12982,T,,10,
No. 10258,train1,12983,T,,0,
No. 10259,train1,12984,T,,10,
No. 10260,train1,12985,T,,0,
No. 10261,train1,12986,T,,5,
No. 10262,train1,12987,T,,343,
No. 10263,train1,12988,T,,0,
No. 10264,train1,12989,T,,0,
No. 10265,train1,12990,T,,10,
No. 10266,train1,12991,T,,0,
No. 10267,train1,12993,T,,357,
No. 10268,train1,12994,T,,0,
No. 10269,train1,12995,T,,0,
No. 10270,train1,12996,T,,3,
No. 10271,train1,12997,T,,10,
No. 10272,train1,12998,T,,355,
No. 10273,train1,12999,T,,350,
No. 10274,train1,13000,T,,0,
No. 10275,train1,13001,T,,5,
No. 10276,train1,13003,T,,0,
No. 10277,train1,13004,T,,0,
No. 10278,train1,13005,T,,0,
No. 10279,train1,13006,T,,5,
No. 10280,train1,13007,T,,0,
No. 10281,train1,13008,T,,0,
No. 10282,train1,13009,T,,3,
No. 10283,train1,13010,T,,355,
No. 10284,train1,13011,T,,3,
No. 10285,train1,13012,T,,12,
No. 10286,train1,13013,T,,7,
No. 10287,train1,13014,T,,357,
No. 10288,train1,13015,T,,357,
No. 10289,train1,13016,T,,357,
No. 10290,train1,13017,T,,357,
No. 10291,train1,13018,T,,353,
No. 10292,train1,13020,T,,355,
No. 10293,train1,13021,T,,0,
No. 10294,train1,13022,T,,0,
No. 10295,train1,13023,T,,0,
No. 10296,train1,13024,T,,0,
No. 10297,train1,13025,T,,0,
No. 10298,train1,13026,T,,0,
No. 10299,train1,13027,T,,0,
No. 10300,train1,13028,T,,0,
No. 10301,train1,13029,T,,3,
No. 10302,train1,13030,T,,355,
No. 10303,train1,13031,T,,0,
No. 10304,train1,13032,T,,357,
No. 10305,train1,13033,T,,0,
No. 10306,train1,13034,T,,357,
No. 10307,train1,13035,T,,0,
No. 10308,train1,13036,T,,355,
No. 10309,train1,13037,T,,357,
No. 10310,train1,13038,T,,357,
No. 10311,train1,13039,T,,0,
No. 10312,train1,13040,T,,0,
No. 10313,train1,13041,T,,355,
No. 10314,train1,13042,T,,0,
No. 10315,train1,13043,T,,10,
No. 10316,train1,13044,T,,0,
No. 10317,train1,13045,T,,0,
No. 10318,train1,13046,T,,0,
No. 10319,train1,13047,T,,0,
No. 10320,train1,13048,T,,0,
No. 10321,train1,13049,T,,352,
No. 10322,train1,13050,T,,10,
No. 10323,train1,13051,T,,10,
No. 10324,train1,13052,T,,0,
No. 10325,train1,13053,T,,348,
No. 10326,train1,13054,T,,347,
No. 10327,train1,13055,T,,25,
No. 10328,train1,13056,T,,7,
No. 10329,train1,13057,T,,10,
No. 10330,train1,13058,T,,5,
No. 10331,train1,13060,T,,345,
No. 10332,train1,13061,T,,0,
No. 10333,train1,13062,T,,7,
No. 10334,train1,13063,T,,0,
No. 10335,train1,13064,T,,0,
No. 10336,train1,13065,T,,0,
No. 10337,train1,13066,T,,0,
No. 10338,train1,13067,T,,10,
No. 10339,train1,13068,T,,353,
No. 10340,train1,13069,T,,0,
No. 10341,train1,13070,T,,5,
No. 10342,train1,13071,T,,0,
No. 10343,train1,13072,T,,0,
No. 10344,train1,13073,T,,355,
No. 10345,train1,13074,T,,5,
No. 10346,train1,13075,T,,0,
No. 10347,train1,13076,T,,350,
No. 10348,train1,13077,T,,5,
No. 10349,train1,13078,T,,0,
No. 10350,train1,13079,T,,356,
No. 10351,train1,13080,T,,0,
No. 10352,train1,13081,T,,0,
No. 10353,train1,13082,T,,0,
No. 10354,train1,13083,T,,0,
No. 10355,train1,13084,T,,0,
No. 10356,train1,13086,T,,0,
No. 10357,train1,13087,T,,350,
No. 10358,train1,13088,T,,0,
No. 10359,train1,13089,T,,10,
No. 10360,train1,13091,T,,0,
No. 10361,train1,13092,T,,355,
No. 10362,train1,13093,T,,5,
No. 10363,train1,13094,T,,357,
No. 10364,train1,13095,T,,20,
No. 10365,train1,13096,T,,0,
No. 10366,train1,13097,T,,3,
No. 10367,train1,13098,T,,350,
No. 10368,train1,13099,T,,0,
No. 10369,train1,13100,T,,0,
No. 10370,train1,13101,T,,350,
No. 10371,train1,13102,T,,350,
No. 10372,train1,13104,T,,0,
No. 10373,train1,13105,T,,0,
No. 10374,train1,13106,T,,0,
No. 10375,train1,13107,T,,350,
No. 10376,train1,13108,T,,0,
No. 10377,train1,13110,T,,355,
No. 10378,train1,13111,T,,355,
No. 10379,train1,13112,T,,0,
No. 10380,train1,13113,T,,0,
No. 10381,train1,13114,T,,7,
No. 10382,train1,13115,T,,0,
No. 10383,train1,13116,T,,10,
No. 10384,train1,13117,T,,0,
No. 10385,train1,13118,P,,0,
No. 10386,train1,13119,T,,0,
No. 10387,train1,13120,T,,5,
No. 10388,train1,13122,T,,0,
No. 10389,train1,13123,T,,0,
No. 10390,train1,13124,T,,10,
No. 10391,train1,13125,T,,0,
No. 10392,train1,13126,T,,10,
No. 10393,train1,13128,T,,0,
No. 10394,train1,13129,T,,5,
No. 10395,train1,13130,L,,L,
No. 10396,train1,13131,T,,0,
No. 10397,train1,13132,T,,353,
No. 10398,train1,13133,T,,0,
No. 10399,train1,13134,T,,355,
No. 10400,train1,13135,T,,0,
No. 10401,train1,13136,T,,0,
No. 10402,train1,13137,T,,0,
No. 10403,train1,13138,T,,5,
No. 10404,train1,13139,T,,0,
No. 10405,train1,13140,T,,0,
No. 10406,train1,13143,T,,0,
No. 10407,train1,13144,T,,0,
No. 10408,train1,13145,P,,353,
No. 10409,train1,13146,T,,0,
No. 10410,train1,13147,T,,0,
No. 10411,train1,13148,T,,3,
No. 10412,train1,13149,T,,0,
No. 10413,train1,13151,T,,0,
No. 10414,train1,13152,T,,357,
No. 10415,train1,13153,T,,0,
No. 10416,train1,13154,T,,0,
No. 10417,train1,13155,T,,3,
No. 10418,train1,13156,T,,0,
No. 10419,train1,13157,T,,350,
No. 10420,train1,13158,T,,355,
No. 10421,train1,13159,T,,0,
No. 10422,train1,13160,T,,0,
No. 10423,train1,13161,T,,5,
No. 10424,train1,13162,T,,0,
No. 10425,train1,13163,T,,5,
No. 10426,train1,13164,T,,0,
No. 10427,train1,13165,T,,5,
No. 10428,train1,13166,T,,5,
No. 10429,train1,13167,T,,0,
No. 10430,train1,13168,T,,0,
No. 10431,train1,13169,T,,0,
No. 10432,train1,13170,T,,350,
No. 10433,train1,13171,T,,0,
No. 10434,train1,13172,T,,350,
No. 10435,train1,13173,T,,5,
No. 10436,train1,13174,T,,7,
No. 10437,train1,13175,T,,350,
No. 10438,train1,13176,T,,0,
No. 10439,train1,13177,T,,0,
No. 10440,train1,13178,T,,0,
No. 10441,train1,13179,T,,0,
No. 10442,train1,13180,T,,0,
No. 10443,train1,13181,T,,0,
No. 10444,train1,13182,T,,7,
No. 10445,train1,13183,T,,353,
No. 10446,train1,13184,T,,353,
No. 10447,train1,13185,T,,0,
No. 10448,train1,13186,P,,0,
No. 10449,train1,13187,T,,0,
No. 10450,train1,13188,T,,0,
No. 10451,train1,13189,T,,0,
No. 10452,train1,13190,T,,353,
No. 10453,train1,13191,T,,5,
No. 10454,train1,13192,T,,343,
No. 10455,train1,13193,T,,0,
No. 10456,train1,13194,T,,5,
No. 10457,train1,13195,T,,0,
No. 10458,train1,13196,T,,0,
No. 10459,train1,13197,T,,353,
No. 10460,train1,13198,T,,0,
No. 10461,train1,13199,T,,5,
No. 10462,train1,13201,T,,0,
No. 10463,train1,13202,T,,5,
No. 10464,train1,13203,T,,5,
No. 10465,train1,13204,T,,0,
No. 10466,train1,13205,T,,0,
No. 10467,train1,13206,T,,355,
No. 10468,train1,13207,T,,0,
No. 10469,train1,13208,T,,0,
No. 10470,train1,13209,T,,0,
No. 10471,train1,13211,T,,340,
No. 10472,train1,13212,T,,0,
No. 10473,train1,13214,T,,0,
No. 10474,train1,13215,T,,350,
No. 10475,train1,13216,T,,0,
No. 10476,train1,13217,T,,5,
No. 10477,train1,13218,T,,353,
No. 10478,train1,13219,T,,5,
No. 10479,train1,13220,T,,5,
No. 10480,train1,13221,T,,5,
No. 10481,train1,13222,T,,7,
No. 10482,train1,13223,T,,0,
No. 10483,train1,13224,T,,8,
No. 10484,train1,13225,T,,0,
No. 10485,train1,13226,T,,0,
No. 10486,train1,13227,T,,5,
No. 10487,train1,13228,T,,5,
No. 10488,train1,13229,T,,0,
No. 10489,train1,13230,T,,5,
No. 10490,train1,13231,T,,10,
No. 10491,train1,13232,T,,355,
No. 10492,train1,13233,T,,10,
No. 10493,train1,13234,T,,5,
No. 10494,train1,13236,T,,343,
No. 10495,train1,13237,T,,0,
No. 10496,train1,13239,T,,0,
No. 10497,train1,13240,T,,0,
No. 10498,train1,13241,T,,20,
No. 10499,train1,13243,T,,0,
No. 10500,train1,13244,T,,0,
